Date,Close,Approval,Classification
8/24/2015,1988.869995,46,Low-Moderate
8/17/2015,1970.890015,44,Low
8/10/2015,2091.540039,46,Low-Moderate
8/3/2015,2077.570068,46,Low-Moderate
7/27/2015,2103.840088,46,Low-Moderate
7/20/2015,2079.649902,46,Low-Moderate
7/13/2015,2126.639893,46,Low-Moderate
7/6/2015,2076.620117,46,Low-Moderate
6/29/2015,2076.780029,46,Low-Moderate
6/22/2015,2101.610107,47,Low-Moderate
6/15/2015,2109.98999,45,Low-Moderate
6/8/2015,2094.110107,45,Low-Moderate
6/1/2015,2092.830078,46,Low-Moderate
5/26/2015,2107.389893,47,Low-Moderate
5/18/2015,2126.060059,46,Low-Moderate
5/11/2015,2122.72998,47,Low-Moderate
5/4/2015,2116.100098,47,Low-Moderate
4/27/2015,2108.290039,48,Low-Moderate
4/20/2015,2117.689941,45,Low-Moderate
4/13/2015,2081.179932,46,Low-Moderate
4/6/2015,2102.060059,48,Low-Moderate
3/30/2015,2066.959961,47,Low-Moderate
3/23/2015,2061.02002,46,Low-Moderate
3/16/2015,2108.100098,45,Low-Moderate
3/9/2015,2053.399902,47,Low-Moderate
3/2/2015,2071.26001,46,Low-Moderate
2/23/2015,2104.5,45,Low-Moderate
2/17/2015,2110.300049,46,Low-Moderate
2/9/2015,2096.98999,47,Low-Moderate
2/2/2015,2055.469971,46,Low-Moderate
1/26/2015,1994.98999,47,Low-Moderate
1/20/2015,2051.820068,49,Low-Moderate
1/12/2015,2019.420044,46,Low-Moderate
1/5/2015,2044.810059,46,Low-Moderate
12/29/2014,2058.199951,46,Low-Moderate
12/22/2014,2088.77002,44,Low
12/15/2014,2070.649902,45,Low-Moderate
12/8/2014,2002.329956,43,Low
12/1/2014,2075.370117,43,Low
11/24/2014,2067.560059,43,Low
11/17/2014,2063.5,42,Low
11/10/2014,2039.819946,42,Low
11/3/2014,2031.920044,40,Low
10/27/2014,2018.050049,42,Low
10/20/2014,1964.579956,42,Low
10/13/2014,1886.76001,41,Low
10/6/2014,1906.130005,41,Low
9/29/2014,1967.900024,43,Low
9/22/2014,1982.849976,42,Low
9/15/2014,2010.400024,43,Low
9/8/2014,1985.540039,41,Low
9/2/2014,2007.709961,40,Low
8/25/2014,2003.369995,41,Low
8/18/2014,1988.400024,43,Low
8/11/2014,1955.060059,41,Low
8/4/2014,1931.589966,42,Low
7/28/2014,1925.150024,42,Low
7/21/2014,1978.339966,41,Low
7/14/2014,1978.219971,43,Low
7/7/2014,1967.569946,42,Low
6/30/2014,1985.439941,43,Low
6/23/2014,1960.959961,42,Low
6/16/2014,1962.869995,41,Low
6/9/2014,1936.160034,42,Low
6/2/2014,1949.439941,44,Low
5/27/2014,1923.569946,44,Low
5/19/2014,1900.530029,43,Low
5/12/2014,1877.859985,44,Low
5/5/2014,1878.47998,45,Low-Moderate
4/28/2014,1881.140015,44,Low
4/21/2014,1863.400024,44,Low
4/14/2014,1864.849976,44,Low
4/7/2014,1815.689941,43,Low
3/31/2014,1865.089966,44,Low
3/24/2014,1857.619995,43,Low
3/17/2014,1866.52002,44,Low
3/10/2014,1841.130005,40,Low
3/3/2014,1878.040039,43,Low
2/24/2014,1859.449951,42,Low
2/18/2014,1836.25,45,Low-Moderate
2/10/2014,1838.630005,40,Low
2/3/2014,1797.02002,41,Low
1/27/2014,1782.589966,42,Low
1/21/2014,1790.290039,42,Low
1/13/2014,1838.699951,40,Low
1/6/2014,1842.369995,41,Low
12/30/2013,1831.369995,41,Low
12/23/2013,1841.400024,43,Low
12/16/2013,1818.319946,40,Low
12/9/2013,1775.319946,42,Low
12/2/2013,1805.089966,41,Low
11/25/2013,1805.810059,42,Low
11/18/2013,1804.76001,49,Low-Moderate
11/11/2013,1798.180054,41,Low
11/4/2013,1770.609985,41,Low
10/28/2013,1761.640015,41,Low
10/21/2013,1759.77002,43,Low
10/14/2013,1744.5,43,Low
10/7/2013,1703.199951,42,Low
9/30/2013,1690.5,44,Low
9/23/2013,1691.75,45,Low-Moderate
9/16/2013,1709.910034,44,Low
9/9/2013,1687.98999,45,Low-Moderate
9/3/2013,1655.170044,44,Low
8/26/2013,1632.969971,44,Low
8/19/2013,1663.5,46,Low-Moderate
8/12/2013,1655.829956,46,Low-Moderate
8/5/2013,1691.420044,44,Low
7/29/2013,1709.670044,45,Low-Moderate
7/22/2013,1691.650024,46,Low-Moderate
7/15/2013,1692.089966,47,Low-Moderate
7/8/2013,1680.189941,46,Low-Moderate
7/1/2013,1631.890015,46,Low-Moderate
6/24/2013,1606.280029,47,Low-Moderate
6/17/2013,1592.430054,46,Low-Moderate
6/10/2013,1626.72998,47,Low-Moderate
6/3/2013,1643.380005,48,Low-Moderate
5/28/2013,1630.73999,48,Low-Moderate
5/20/2013,1649.599976,49,Low-Moderate
5/13/2013,1667.469971,49,Low-Moderate
5/6/2013,1633.699951,49,Low-Moderate
4/29/2013,1614.420044,50,High-Moderate
4/22/2013,1582.23999,51,High-Moderate
4/15/2013,1555.25,50,High-Moderate
4/8/2013,1588.849976,49,Low-Moderate
4/1/2013,1553.280029,48,Low-Moderate
3/25/2013,1569.189941,48,Low-Moderate
3/18/2013,1556.890015,47,Low-Moderate
3/11/2013,1560.699951,48,Low-Moderate
3/4/2013,1551.180054,49,Low-Moderate
2/25/2013,1518.199951,49,Low-Moderate
2/19/2013,1515.599976,51,High-Moderate
2/11/2013,1519.790039,51,High-Moderate
2/4/2013,1517.930054,52,High-Moderate
1/28/2013,1513.170044,53,High-Moderate
1/22/2013,1502.959961,52,High-Moderate
